Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Pirapetinga (MG);7;-;...;-;-;-;-;-;1071;-;-;100;25;-;...;...;-;-;...;...;-;60;-;-;...;-;-;-;-;-;...;...;...;6;197;-;-;...;...;...;-;141;1;-;-;-;-;-;27;366;...;-;-;-;819;-;...;-;-;-;-;-;-;-;3;-;-;...;-;...;-
Pirapora (MG);197;8;...;-;-;-;-;1;34;-;-;77;1;-;...;...;-;-;...;...;159;6;-;-;...;-;-;-;-;2;...;...;...;1;62;5;-;...;...;...;-;138;10;-;-;-;44;-;43;115;...;-;1;-;84;-;...;-;-;-;-;-;-;-;6;-;-;...;-;...;-
Piraúba (MG);9;-;...;-;-;-;19;-;3600;-;-;132;78;-;...;...;-;-;...;...;-;186;-;-;...;-;-;-;-;-;...;...;...;-;324;-;2124;...;...;...;-;71;8;-;-;-;-;-;-;60;...;-;-;-;1625;-;...;-;-;-;-;-;-;-;-;228;-;...;-;...;-
Pitangui (MG);14;24;...;-;-;18;-;8;390;-;-;77;9;14;...;...;-;7;...;...;-;250;234;-;...;-;-;-;-;-;...;...;...;-;162;-;10;...;...;...;-;220;-;-;-;-;-;-;421;270;...;-;-;-;1122;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Piumhi (MG);10;3600;...;-;-;-;32;2;3366;-;-;198;27;-;...;...;-;2500;...;...;6;263;-;-;...;23;-;-;-;-;...;...;...;-;1249;-;-;...;...;...;-;320;4;-;-;-;-;-;666;10;...;-;3;-;4050;-;...;-;-;-;-;-;-;-;36;30;-;...;-;...;-
Planura (MG);-;96;...;-;-;-;-;-;1029;-;-;30;-;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;-;-;-;...;...;...;-;120;-;-;-;-;-;-;1398;-;...;-;-;-;528;-;...;-;-;-;-;-;1256;-;-;-;-;...;-;...;-
Poço Fundo (MG);-;-;...;-;-;-;43;11;654;-;-;193;-;-;...;...;-;3172;...;...;-;84;24;-;...;-;-;-;-;-;...;...;...;-;546;-;2025;...;...;...;-;299;36;-;-;-;-;-;288;-;...;-;-;-;3136;-;...;-;-;-;-;-;-;-;59;62;-;...;-;...;-
Poços de Caldas (MG);41;18;...;-;-;-;192;16;257;-;-;25;105;6008;...;...;-;9750;...;...;-;16;-;18;...;38;-;-;-;-;...;...;...;-;515;16;3;...;...;...;-;161;-;-;-;-;-;-;432;-;...;12;-;-;1014;-;...;25;80;-;-;-;-;-;-;964;-;...;-;...;160
Pocrane (MG);8;30;...;-;-;-;15;11;4312;-;-;397;45;-;...;...;-;1200;...;...;-;180;-;-;...;-;-;-;-;21;...;...;...;-;712;-;375;...;...;...;-;612;-;-;-;-;-;-;247;140;...;-;-;-;2743;-;...;-;-;-;-;-;-;-;2;-;-;...;-;...;-
Pompéu (MG);32;4;...;-;-;1942;6;4;1440;-;-;77;10;-;...;...;-;-;...;...;-;60;-;-;...;-;-;-;-;-;...;...;...;-;528;-;-;...;...;...;-;170;2;-;-;-;-;-;666;-;...;-;-;-;3240;-;...;-;-;-;-;-;-;-;10;192;-;...;-;...;-
Ponte Nova (MG);-;-;...;-;-;-;33;16;1192;-;-;149;48;-;...;...;-;2851;...;...;-;12016;-;-;...;-;-;-;-;-;...;...;...;-;2439;-;14;...;...;...;-;244;8;-;-;-;-;-;153;16;...;-;-;-;2772;-;...;-;-;-;-;-;-;-;4;24;-;...;-;...;-
Ponto Chique (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Ponto dos Volantes (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Porteirinha (MG);37;-;...;-;-;21427;-;-;240;-;-;25;19;8;...;...;-;4;...;...;-;288;-;-;...;-;-;-;-;-;...;...;...;36;296;-;-;...;...;...;-;78;20;-;-;-;-;345;2549;25;...;-;112;-;2080;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Porto Firme (MG);-;19;...;-;-;-;126;20;2040;-;-;88;8;49;...;...;-;2745;...;...;-;982;-;-;...;18;-;-;-;-;...;...;...;-;1710;-;56;...;...;...;-;142;1;-;-;-;-;-;306;20;...;-;-;-;1080;-;...;-;-;-;-;-;-;-;90;-;-;...;-;...;-
Poté (MG);-;-;...;-;-;-;-;5;1282;-;-;66;97;-;...;...;-;2434;...;...;-;708;-;-;...;-;-;-;-;-;...;...;...;-;7553;-;-;...;...;...;-;114;-;-;-;-;-;-;2224;-;...;-;-;-;1216;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Pouso Alegre (MG);4;8;...;-;-;-;23;3;3875;-;-;110;195;965;...;...;-;918;...;...;-;120;14;0;...;22;-;-;-;-;...;...;...;29;1060;1;57;...;...;...;-;226;3;-;-;-;-;-;763;20;...;-;5;-;747;-;...;-;-;-;-;-;-;-;9;223;-;...;-;...;-
Pouso Alto (MG);9;-;...;-;-;-;35;8;138;-;-;16;5;124;...;...;-;28;...;...;-;-;180;-;...;21;-;-;-;-;...;...;...;-;211;-;17;...;...;...;-;180;11;-;-;-;-;-;31;9;...;-;-;-;131;-;...;9;-;-;-;-;-;-;9;27;-;...;-;...;-
Prados (MG);-;3;...;-;-;-;4;2;221;-;-;44;40;157;...;...;-;59;...;...;-;36;27;-;...;1;-;-;-;-;...;...;...;-;194;-;-;...;...;...;-;6;-;-;-;-;9;-;116;30;...;-;-;-;653;-;...;-;-;-;-;-;-;-;-;109;-;...;-;...;6
Prata (MG);-;-;...;-;-;-;-;-;20636;-;-;49;-;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;28;-;-;...;...;...;-;82;-;-;-;-;-;-;1332;-;...;-;-;-;3513;-;...;-;-;-;-;-;515;-;-;-;-;...;-;...;-
Pratápolis (MG);12;-;...;-;-;182;12;38;2592;-;-;22;12;48;...;...;-;351;...;...;-;22;72;-;...;30;-;-;-;-;...;...;...;-;1598;-;27;...;...;...;-;68;-;-;-;-;-;2;510;15;...;-;-;-;3960;-;...;-;-;-;-;-;-;-;-;32;-;...;-;...;-
Pratinha (MG);20;-;...;-;-;-;-;1;135;-;-;16;8;2;...;...;-;1075;...;...;-;58;35;-;...;2;-;-;-;-;...;...;...;-;930;-;-;...;...;...;-;95;7;-;-;-;-;-;293;42;...;-;-;-;1534;-;...;-;-;-;-;-;-;-;-;13;-;...;-;...;-
Presidente Bernardes (MG);-;6;...;-;-;-;126;20;1968;-;-;5;8;42;...;...;-;1252;...;...;-;958;-;-;...;18;-;-;-;-;...;...;...;-;1612;-;56;...;...;...;-;129;2;-;-;-;-;-;30;20;...;-;-;-;1500;-;...;-;1;-;-;-;-;-;90;-;-;...;-;...;-
Presidente Juscelino (MG);16;18;...;-;-;62;15;8;900;-;-;357;75;4;...;...;-;-;...;...;-;1008;338;-;...;-;-;-;-;-;...;...;...;-;1708;-;-;...;...;...;-;71;6;-;-;-;-;6;1458;70;...;-;2;-;1134;-;...;-;-;-;-;-;-;-;3;-;-;...;-;...;7
Presidente Kubitschek (MG);6;0;...;-;-;-;-;1;4;-;-;39;39;16;...;...;-;5;...;...;-;115;-;-;...;-;-;-;-;-;...;...;...;-;8;-;-;...;...;...;-;27;3;-;-;-;-;-;96;9;...;-;-;-;102;-;...;-;-;-;-;-;-;-;3;19;-;...;-;...;-
Presidente Olegário (MG);12;20;...;-;-;51;-;15;7800;-;-;149;84;-;...;...;-;140;...;...;-;320;640;-;...;-;-;-;-;-;...;...;...;-;28815;7;-;...;...;...;-;425;20;-;-;-;-;-;7030;37;...;-;-;-;13320;-;...;-;16;-;-;-;731;-;18;30;-;...;-;...;-
Alto Jequitibá (MG);12;12;...;-;-;-;-;42;108;-;-;99;240;56;...;...;-;7830;...;...;-;36;-;-;...;-;-;-;-;-;...;...;...;-;537;3;-;...;...;...;-;137;2;-;-;-;-;-;1377;30;...;45;-;-;2160;-;...;-;10;-;-;-;-;-;5;-;-;...;-;...;-
Prudente de Morais (MG);25;-;...;-;-;-;118;6;192;-;-;5;4;141;...;...;-;-;...;...;-;12;2;-;...;90;-;-;-;-;...;...;...;-;89;-;-;...;...;...;-;38;-;-;-;-;-;-;49;39;...;-;-;-;460;-;...;-;-;-;-;-;-;-;2;20;-;...;-;...;-
Quartel Geral (MG);8;0;...;-;-;-;-;8;468;-;-;27;-;-;...;...;-;24;...;...;-;40;-;-;...;-;-;-;-;-;...;...;...;-;48;-;-;...;...;...;-;31;-;-;-;-;-;-;74;79;...;-;-;-;249;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Queluzito (MG);21;1;...;-;-;-;12;1;108;-;-;15;9;42;...;...;-;14;...;...;-;15;-;-;...;4;-;-;-;-;...;...;...;-;166;-;-;...;...;...;-;76;-;-;-;-;-;-;77;9;...;-;-;-;216;-;...;-;-;-;-;-;-;-;10;30;-;...;-;...;-
Raposos (MG);-;-;...;-;-;-;4;-;-;-;-;11;3;11;...;...;-;7;...;...;-;-;9;-;...;2;-;-;-;-;...;...;...;-;6;-;-;...;...;...;-;27;-;-;-;-;-;-;6;2;...;-;-;-;24;-;...;-;-;-;-;-;-;-;-;20;-;...;-;...;-
Raul Soares (MG);3;8;...;-;-;-;184;160;1458;-;-;33;18;81;...;...;-;7203;...;...;-;335;-;-;...;67;-;-;-;-;...;...;...;-;12097;-;1500;...;...;...;-;84;3;-;-;-;-;-;277;45;...;-;-;-;8880;-;...;-;-;-;-;-;-;-;-;28;-;...;-;...;-
Recreio (MG);12;-;...;-;-;-;-;-;4620;-;-;18;-;-;...;...;-;-;...;...;-;34;54;-;...;-;-;-;-;-;...;...;...;-;-;-;-;...;...;...;-;274;-;-;-;-;-;-;8;39;...;-;-;-;384;-;...;-;-;-;-;-;-;-;-;3;-;...;-;...;-
Reduto (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Resende Costa (MG);15;5;...;-;-;-;12;2;68;-;-;480;16;70;...;...;-;54;...;...;-;61;144;-;...;9;-;-;-;-;...;...;...;2;3816;-;6;...;...;...;-;230;18;-;-;-;-;-;1958;41;...;-;-;-;810;-;...;-;-;-;-;-;-;-;167;100;-;...;-;...;-
Resplendor (MG);62;-;...;-;-;-;-;52;5299;-;-;226;1960;-;...;...;-;10746;...;...;-;120;-;-;...;-;-;-;-;63;...;...;...;-;60;-;-;...;...;...;-;1282;6;-;-;-;-;-;1530;451;...;-;72;-;18977;-;...;-;-;-;-;-;-;-;23;-;-;...;-;...;-
Ressaquinha (MG);8;-;...;-;-;-;72;-;19;-;-;22;5;275;...;...;-;-;...;...;-;2;10;7;...;10;-;-;-;-;...;...;...;-;482;-;-;...;...;...;-;190;-;-;-;-;-;-;-;9;...;-;-;-;652;-;...;60;14;-;-;-;-;-;24;2860;-;...;-;...;20
Riachinho (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Riacho dos Machados (MG);-;-;...;-;-;497;-;-;176;-;-;27;20;7;...;...;-;2;...;...;-;160;-;-;...;-;-;-;-;-;...;...;...;17;119;-;-;...;...;...;-;17;4;-;-;-;-;64;932;-;...;-;71;-;1123;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Ribeirão das Neves (MG);36;10;...;-;-;-;134;10;91;-;-;77;54;7;...;...;-;4;...;...;-;30;3;-;...;18;-;-;-;-;...;...;...;2;16;-;-;...;...;...;-;280;6;-;-;-;-;-;111;18;...;48;-;-;142;-;...;-;-;-;-;-;-;-;-;90;-;...;-;...;-
Ribeirão Vermelho (MG);8;11;...;-;-;-;28;26;31;-;-;11;37;49;...;...;-;319;...;...;-;61;-;-;...;21;-;-;-;-;...;...;...;-;132;-;294;...;...;...;-;51;3;-;-;-;-;-;450;-;...;-;21;-;346;-;...;-;-;-;-;-;-;-;87;48;-;...;-;...;6
Rio Acima (MG);-;-;...;-;-;-;20;-;-;-;-;27;12;7;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;18;-;-;...;...;...;-;17;-;-;-;-;-;-;11;-;...;-;-;-;124;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Rio Casca (MG);-;-;...;-;-;-;762;14;2448;-;-;397;72;141;...;...;-;13000;...;...;-;14272;-;-;...;-;-;-;-;-;...;...;...;-;1149;-;200;...;...;...;-;191;-;-;-;-;-;-;114;-;...;-;-;-;5280;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Rio Doce (MG);-;-;...;-;-;-;-;8;302;-;-;33;-;-;...;...;-;486;...;...;-;875;-;-;...;-;-;-;-;-;...;...;...;-;1023;-;-;...;...;...;-;229;-;-;-;-;-;-;51;4;...;-;-;-;748;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Rio do Prado (MG);-;2;...;-;-;-;-;-;26;-;-;11;129;-;...;...;-;41;...;...;-;208;-;-;...;-;-;-;-;68;...;...;...;-;204;-;-;...;...;...;-;9;4;-;-;-;6;-;721;43;...;-;6;-;36;-;...;-;-;-;-;-;-;-;6;-;-;...;-;...;-
Rio Espera (MG);12;-;...;-;-;-;-;16;456;-;-;16;-;-;...;...;-;78;...;...;-;1598;-;-;...;-;-;-;-;-;...;...;...;-;1780;-;-;...;...;...;-;518;-;-;-;-;-;-;153;-;...;-;-;-;600;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Rio Manso (MG);9;18;...;-;-;7;18;11;87;-;-;165;154;11;...;...;-;548;...;...;-;132;-;-;...;-;-;-;-;-;...;...;...;2;312;4;-;...;...;...;-;918;30;-;-;-;-;-;462;206;...;-;-;-;499;-;...;-;-;-;-;-;-;-;47;291;-;...;-;...;-
Rio Novo (MG);-;-;...;-;-;-;-;-;1584;-;-;171;18;-;...;...;-;652;...;...;-;84;-;-;...;-;-;-;-;-;...;...;...;-;92;-;78;...;...;...;-;1062;-;-;-;-;-;-;30;-;...;-;-;-;869;-;...;-;-;-;-;-;-;-;204;24;-;...;-;...;-
Rio Paranaíba (MG);24;4;...;-;-;2;-;7;3234;-;-;99;120;11;...;...;-;2610;...;...;-;91;800;-;...;24;-;-;-;-;...;...;...;-;6271;16;25;...;...;...;-;255;51;-;-;-;10;-;2250;80;...;6;-;-;2520;-;...;-;1;-;-;-;1320;-;35;520;-;...;-;...;-
Rio Pardo de Minas (MG);75;182;...;-;-;-;15;-;1723;-;-;270;115;104;...;...;-;4572;...;...;-;1600;-;-;...;6;-;-;-;-;...;...;...;83;4988;-;-;...;...;...;-;462;43;-;-;-;-;-;2615;200;...;320;40;-;475;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Rio Piracicaba (MG);5;6;...;-;-;-;12;10;90;-;-;44;40;23;...;...;-;148;...;...;-;279;-;-;...;-;-;-;-;-;...;...;...;2;905;-;-;...;...;...;-;568;2;-;-;-;-;-;353;14;...;-;3;-;1575;-;...;-;-;-;-;-;-;-;44;-;-;...;-;...;-
Rio Pomba (MG);22;-;...;-;-;-;-;-;691;-;-;66;36;-;...;...;-;-;...;...;-;318;-;-;...;-;-;-;-;-;...;...;...;-;295;-;656;...;...;...;-;229;6;-;-;-;-;-;183;31;...;-;-;-;937;-;...;-;-;-;-;-;-;-;-;134;-;...;-;...;-
Rio Preto (MG);25;-;...;-;-;-;6;-;47;-;-;198;50;-;...;...;-;443;...;...;-;72;66;-;...;-;-;-;-;-;...;...;...;-;81;-;60;...;...;...;-;246;3;-;-;-;-;-;39;86;...;-;-;-;309;-;...;-;6;-;-;-;9;-;-;-;-;...;-;...;-
Rio Vermelho (MG);-;-;...;-;-;-;-;8;277;-;-;794;135;-;...;...;-;300;...;...;-;307;-;-;...;-;-;-;-;-;...;...;...;-;452;-;-;...;...;...;-;255;-;-;-;-;-;-;999;-;...;-;-;-;1815;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Ritápolis (MG);54;5;...;-;-;-;14;5;371;-;-;99;24;123;...;...;-;35;...;...;-;21;63;11;...;2;-;-;-;-;...;...;...;-;400;2;8;...;...;...;-;190;7;-;-;-;9;-;358;27;...;3;1;-;397;-;...;12;7;-;-;-;12;-;12;208;-;...;-;...;3
Rochedo de Minas (MG);36;-;...;-;-;-;-;-;158;-;-;55;279;-;...;...;-;88;...;...;-;304;-;-;...;-;-;-;-;-;...;...;...;-;50;-;-;...;...;...;-;288;-;-;-;-;-;-;234;-;...;-;-;-;83;-;...;-;-;-;-;-;-;-;-;12;-;...;-;...;-
Rodeiro (MG);-;-;...;-;-;-;-;-;1620;-;-;22;-;-;...;...;-;-;...;...;-;-;-;-;...;286;-;-;-;-;...;...;...;-;139;-;1271;...;...;...;-;-;-;-;-;-;-;-;-;80;...;-;-;-;1690;-;...;-;-;-;-;-;-;-;-;85;-;...;-;...;-
Romaria (MG);-;6;...;-;-;-;-;-;1436;-;-;16;-;-;...;...;-;-;...;...;-;14;-;-;...;-;-;-;-;-;...;...;...;-;24;-;-;...;...;...;-;122;-;-;-;-;-;-;180;7;...;-;-;-;98;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Rosário da Limeira (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Rubelita (MG);28;19;...;-;-;-;6;8;148;-;-;49;24;57;...;...;-;679;...;...;-;300;-;-;...;9;-;-;-;82;...;...;...;97;1923;-;305;...;...;...;-;90;-;-;-;-;-;30;1012;120;...;-;14;-;756;-;...;-;-;-;-;-;-;-;37;-;-;...;-;...;-
Rubim (MG);-;4;...;-;-;-;-;-;22;-;-;16;100;-;...;...;-;57;...;...;-;140;-;-;...;-;-;-;-;4;...;...;...;-;300;-;-;...;...;...;-;18;5;-;-;-;-;-;404;90;...;-;12;-;33;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Sabará (MG);-;28;...;-;-;-;28;5;142;-;-;29808;9;4;...;...;-;-;...;...;-;28;-;-;...;-;-;-;-;-;...;...;...;-;28;-;-;...;...;...;-;17;-;-;-;-;-;-;100;-;...;-;-;-;280;-;...;-;-;-;-;-;-;-;52;-;-;...;-;...;-
Sabinópolis (MG);-;-;...;-;-;-;115;76;508;-;-;342;176;-;...;...;-;207;...;...;-;1280;-;-;...;-;-;-;-;-;...;...;...;-;720;-;-;...;...;...;-;382;-;-;-;-;-;-;1665;-;...;-;-;-;3684;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Sacramento (MG);44;19;...;-;-;87;16;36;8832;-;-;419;-;-;...;...;-;6159;...;...;-;279;-;-;...;-;-;-;-;-;...;...;...;-;64;-;-;...;...;...;-;226;21;-;-;-;-;-;776;158;...;42;-;-;2585;-;...;-;-;-;-;-;-;-;29;52;-;...;-;...;-
Salinas (MG);262;147;...;-;-;-;6;14;847;-;-;585;140;49;...;...;-;13681;...;...;-;1392;-;-;...;24;-;-;-;739;...;...;...;205;6756;-;540;...;...;...;-;468;-;-;-;-;-;135;4195;1480;...;-;80;-;1830;-;...;-;-;-;-;-;-;-;543;121;-;...;-;...;5
Salto da Divisa (MG);-;-;...;-;-;-;-;-;18;-;-;27;18;-;...;...;-;41;...;...;-;-;-;-;...;-;-;-;-;3;...;...;...;-;421;-;-;...;...;...;-;17;6;-;-;-;-;-;2120;6;...;-;-;-;54;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santa Bárbara (MG);12;32;...;-;-;-;84;13;10;-;-;165;38;14;...;...;-;96;...;...;-;74;-;-;...;25;-;-;-;-;...;...;...;1;150;-;-;...;...;...;-;262;13;-;-;-;-;-;408;24;...;-;-;-;174;-;...;-;-;-;-;-;-;-;31;182;-;...;-;...;10
Santa Bárbara do Leste (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Bárbara do Monte Verde (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Bárbara do Tugúrio (MG);3;-;...;-;-;-;-;-;114;-;-;248;5;-;...;...;-;44;...;...;-;45;-;-;...;-;-;-;-;-;...;...;...;-;258;-;26;...;...;...;-;612;-;-;-;-;15;-;14;6;...;-;-;-;1154;-;...;-;-;-;-;-;-;-;12;208;-;...;-;...;-
Santa Cruz de Minas (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Cruz de Salinas (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Cruz do Escalvado (MG);-;-;...;-;-;-;-;24;378;-;-;66;109;-;...;...;-;858;...;...;-;5257;-;-;...;-;-;-;-;-;...;...;...;-;437;-;22;...;...;...;-;91;6;-;-;-;-;-;15;17;...;-;-;-;2700;-;...;-;-;-;-;-;-;-;5;-;-;...;-;...;-
Santa Efigênia de Minas (MG);-;-;...;-;-;-;-;7;150;-;-;458;45;-;...;...;-;266;...;...;-;240;-;-;...;-;-;-;-;-;...;...;...;-;230;-;-;...;...;...;-;76;-;-;-;-;-;-;185;-;...;-;-;-;514;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santa Fé de Minas (MG);-;-;...;-;-;-;-;5;239;-;-;11;2;-;...;...;-;-;...;...;-;25;-;-;...;-;-;-;-;-;...;...;...;1;15;-;-;...;...;...;-;60;3;-;-;-;4;-;216;10;...;-;2;-;92;-;...;-;-;-;-;-;-;-;2;-;-;...;-;...;-
Santa Helena de Minas (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Juliana (MG);-;-;...;-;-;-;-;-;6300;-;-;66;-;-;...;...;-;360;...;...;-;128;-;-;...;-;-;-;-;-;...;...;...;-;2047;-;-;...;...;...;-;460;-;-;-;-;-;-;367;-;...;-;-;-;3360;-;...;-;-;-;-;-;2115;-;-;-;-;...;-;...;-
Santa Luzia (MG);42;192;...;-;-;-;70;1;34;-;-;11;1555;53;...;...;-;20;...;...;-;183;-;-;...;18;-;-;-;-;...;...;...;-;54;-;-;...;...;...;-;400;18;-;-;-;-;-;106;247;...;-;-;-;231;-;...;-;-;-;-;-;-;-;12;90;-;...;-;...;3
Santa Margarida (MG);9;15;...;-;-;-;104;12;437;-;-;33;40;102;...;...;-;1346;...;...;-;159;-;-;...;24;-;-;-;-;...;...;...;-;1190;-;170;...;...;...;-;229;7;-;-;-;-;-;532;21;...;-;-;-;936;-;...;-;-;-;-;-;-;-;6;87;-;...;-;...;-
Santa Maria de Itabira (MG);-;-;...;-;-;-;-;16;72;-;-;149;-;-;...;...;-;874;...;...;-;83;-;-;...;-;-;-;-;-;...;...;...;-;780;-;-;...;...;...;-;150;-;-;-;-;-;-;176;39;...;-;-;-;505;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santa Maria do Salto (MG);-;-;...;-;-;-;-;-;21;-;-;22;21;-;...;...;-;79;...;...;-;163;-;-;...;-;-;-;-;3;...;...;...;-;724;-;-;...;...;...;-;16;8;-;-;-;-;-;2120;-;...;-;-;-;70;-;...;-;-;-;-;-;-;-;14;-;-;...;-;...;-
Santa Maria do Suaçuí (MG);-;20;...;-;-;-;-;-;-;-;-;684;-;-;...;...;-;783;...;...;-;140;-;-;...;-;-;-;-;-;...;...;...;-;6410;-;-;...;...;...;-;127;-;-;-;-;-;-;222;-;...;-;-;-;5395;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santana da Vargem (MG);-;-;...;-;-;-;18;24;675;-;-;49;55;154;...;...;-;23701;...;...;-;815;-;-;...;5;-;-;-;-;...;...;...;-;485;-;57;...;...;...;-;285;-;-;-;-;-;-;91;-;...;-;12;-;562;-;...;-;-;-;-;-;-;-;-;96;-;...;-;...;-
Santana de Cataguases (MG);11;-;...;-;-;-;-;-;3300;-;-;60;-;-;...;...;-;-;...;...;-;270;-;-;...;-;-;-;-;-;...;...;...;-;253;-;-;...;...;...;-;392;9;-;-;-;-;-;-;424;...;-;-;-;345;-;...;-;-;-;-;-;-;-;24;-;-;...;-;...;-
Santana de Pirapama (MG);4;20;...;-;-;202;15;11;1056;-;-;60;11;28;...;...;-;-;...;...;-;270;-;-;...;23;-;-;-;-;...;...;...;-;355;8;20;...;...;...;-;480;18;-;-;-;-;-;5180;90;...;-;-;-;1260;-;...;-;-;-;-;-;-;-;37;60;-;...;-;...;-
Santana do Deserto (MG);-;-;...;-;-;-;-;-;91;-;-;149;144;-;...;...;-;2070;...;...;-;135;135;-;...;-;-;-;-;-;...;...;...;-;265;-;-;...;...;...;-;810;-;-;-;-;-;-;405;3;...;-;-;-;549;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
